Switches; Producers; Consumers; Time
2;2;5;0.00021392000000000004
2;2;10;0.0003252069999999999
2;2;20;0.000547086
2;2;30;0.00077995
2;2;40;0.0010713099999999998
2;2;50;0.001323982
2;5;1;0.00020139399999999992
2;5;2;0.00023272599999999994
2;5;5;0.00039476599999999995
2;5;10;0.000668461
2;5;20;0.001367502
2;5;30;0.001907438
2;5;40;0.002440205
2;5;50;0.002998173
2;10;1;0.000216073
2;10;2;0.00031673300000000003
2;10;5;0.000677069
2;10;10;0.001327806
2;10;20;0.002452237
2;10;30;0.0035617569999999996
2;10;40;0.004713917
2;10;50;0.005863549
2;20;1;0.000362493
2;20;2;0.000620638
2;20;5;0.001320173
2;20;10;0.002473597
2;20;20;0.004732173
2;20;30;0.007025133
2;20;40;0.009319820999999999
2;20;50;0.011619501
2;30;1;0.0005179329999999999
2;30;2;0.000862989
2;30;5;0.0019528610000000002
2;30;10;0.0036623330000000003
2;30;20;0.007058829
2;30;30;0.010501597000000001
2;30;40;0.013940013000000001
2;30;50;0.017383068999999998
2;40;1;0.0006761569999999999
2;40;2;0.0011235490000000002
2;40;5;0.002529309
2;40;10;0.004830173
2;40;20;0.009461277
2;40;30;0.013941965
2;40;40;0.018532813
2;40;50;0.023123532999999998
2;50;1;0.0008082370000000001
2;50;2;0.0013903169999999999
2;50;5;0.0031461889999999998
2;50;10;0.006054717
2;50;20;0.011877469000000002
2;50;30;0.017705853
2;50;40;0.023307741
2;50;50;0.029084877
5;1;1;0.00032047400000000006
5;1;2;0.00032986499999999993
5;1;5;0.000406336
5;1;10;0.00046069199999999996
5;1;20;0.000741284
5;1;30;0.001013566
5;1;40;0.001326702
5;1;50;0.0016450699999999998
5;2;1;0.0003257659999999999
5;2;2;0.00035958600000000006
5;2;5;0.000479171
5;2;10;0.0007211489999999999
5;2;20;0.0013363659999999999
5;2;30;0.001966974
5;2;40;0.002617006
5;2;50;0.00333083
5;5;1;0.000413243
5;5;2;0.000531365
5;5;5;0.0008824919999999999
5;5;10;0.0016859660000000001
5;5;20;0.003310238
5;5;30;0.00494531
5;5;40;0.006490302
5;5;50;0.007967038
5;10;1;0.000509958
5;10;2;0.0007812119999999999
5;10;5;0.0017184779999999998
5;10;10;0.0033485420000000004
5;10;20;0.00643451
5;10;30;0.009412558000000001
5;10;40;0.012136398
5;10;50;0.014996237999999999
5;20;1;0.0008743
5;20;2;0.0014697080000000001
5;20;5;0.00341611
5;20;10;0.006520014
5;20;20;0.012292958
5;20;30;0.01807835
5;20;40;0.02369278
5;20;50;0.029541548
5;30;1;0.0012450679999999998
5;30;2;0.002189596
5;30;5;0.005058766
5;30;10;0.009558462
5;30;20;0.018203261999999998
5;30;30;0.026671083999999998
5;30;40;0.035338732
5;30;50;0.044034716
5;40;1;0.001632236
5;40;2;0.00288971
5;40;5;0.006646622
5;40;10;0.012489838
5;40;20;0.023932395999999998
5;40;30;0.03551566
5;40;40;0.047251596
5;40;50;0.058846572
